Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	train/cost_speed	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/actor_rew	loss/actor_total	loss/kl	loss/vf0	loss/vf1	loss/vf_total	loss/total	loss/entropy	update/gradient_steps	test/reward	test/cost	test/length	test/cost_speed	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
48020	20.0	18131.0	0.0	906.55	2401.0	906.55	0.007292096406618964	136.134775	3.598070338766843	0.20338527327851655	0.027720583914501995	0.35030107701665414	0.006155775036951678	35.336314390049886	35.34247013591827	8.863338124305809	1.8437003961858909	187.0	0.0	0.0	2401.0	0.0	135.98470520973206	27.32879900932312	175.71207568842726	102.68587899208069	5.970027208328247	441.9456031357389	599.0	48020.0
96040	2.0	40.0	21867.0	0.0	186.8	2401.0	186.8	0.09272416646769606	9.784675	-0.009498875827234729	0.09077561664629111	0.007536317624926351	0.18857165897902553	4.4898818151537894e-05	5.876015482101847	5.876060387667486	1.4765514076393544	1.8569938135657083	374.0	0.0	2024.0	2401.0	2024.0	269.8664050102234	54.57761907577515	175.96956706128717	203.64145708084106	11.647328853607178	446.09847922707195	598.0	96040.0
144060	2.0	60.0	61233.0	0.0	1968.3	2401.0	1968.3	0.003584321568126349	277.992825	-1.7419376959775223	0.2522557933645492	-0.005339499592296537	0.8155923514928234	0.0006412357838720427	21.046309777122108	21.04695108485094	5.256398247525014	1.8673183140270202	561.0	0.0	2274.5	2401.0	2274.5	406.31157779693604	82.7750792503357	174.03788834115284	305.746289730072	17.79020881652832	445.26661025000374	597.0	144060.0
192080	2.0	80.0	106113.0	0.0	2244.0	2401.0	2244.0	0.006977450450071719	142.318825	-6.78376278552142	0.19004211191058082	-0.04600736112696999	1.455059321110391	0.004521282745853942	14.692000478665454	14.696521695922392	3.6281230840931604	1.8667534277400872	748.0	0.0	733.0	2401.0	733.0	542.3835687637329	110.34543085098267	174.07154833569572	408.2321858406067	23.805952072143555	444.59038021034706	596.0	192080.0
240100	2.0	100.0	124192.0	0.0	903.95	2401.0	903.95	0.0203263187207428	48.197300000000006	4.870684746274336	0.11661091372545028	0.10137335942772399	0.49645556627653226	0.0005186139960788226	17.02266742073917	17.0231860257725	4.357169860824539	1.8683003021434033	935.0	0.0	1941.5	2401.0	1941.5	679.060245513916	138.5072250366211	173.34835777449007	510.6151878833771	29.937832593917847	444.1747449454591	595.0	240100.0
288120	2.0	120.0	161340.0	0.0	1857.4	2401.0	1857.4	0.00517752436672405	192.14250000000004	0.024025416310458295	0.011959074764826239	0.00018631058657577035	0.02748712415328838	0.0003455259974480651	21.231127749152364	21.231473290346514	5.308054628219197	1.8703239888430918	1122.0	0.0	1996.5	2401.0	1996.5	813.4055063724518	166.26441192626953	173.2902409252605	611.2665109634399	35.87458348274231	445.219755742093	594.0	288120.0
336140	2.0	140.0	182667.0	0.0	1066.35	2401.0	1066.35	0.01701340699004333	57.777175	-0.4854042246379953	0.046701347650860495	-0.00746383036683757	0.09403666177824299	4.697743659144277e-05	11.884813933448998	11.88486085983521	2.963751393843463	1.869352023231792	1309.0	0.0	2266.5	2401.0	2266.5	946.6838972568512	193.459787607193	173.75187068979395	711.6106326580048	41.61347699165344	446.2682430018689	593.0	336140.0
384160	2.0	160.0	226557.0	0.0	2194.5	2401.0	2194.5	0.00436498379445204	228.09592500000002	1.0278137708730237	0.018827702149121283	0.00456857288547078	0.03863320005858407	0.00031983675712994684	13.418801019535985	13.419120829373133	3.3593487733188154	1.8690398517139457	1496.0	0.0	2248.5	2401.0	2248.5	1081.95037317276	220.9589467048645	173.86035086106907	813.308102607727	47.68332386016846	446.1833047234466	592.0	384160.0
432180	2.0	180.0	270583.0	0.0	2201.3	2401.0	2201.3	0.008445904929093457	117.40057500000005	-0.569568598652906	0.06810852316990094	-0.00423528367113806	0.17297440346947962	6.490599685701865e-05	8.694589537095258	8.694654463446717	2.16942833324167	1.8716449826796426	1683.0	0.0	6.0	2401.0	6.0	1217.8992581367493	248.88206005096436	173.64851444555754	915.7034599781036	53.313738107681274	445.9982762470435	591.0	432180.0
480200	2.0	200.0	276041.0	0.0	272.9	2401.0	272.9	0.046650440088589186	20.436025	-0.4295852669579461	0.0644402993982409	-0.017034172835094223	0.16413264301540778	1.9890411701020705e-05	4.051014962680838	4.051034855332603	0.9957245412994837	1.8723762711101672	1870.0	0.0	0.0	2401.0	0.0	1352.3218233585358	276.0202684402466	173.9727313191693	1017.2753322124481	59.026222705841064	446.157489790541	590.0	480200.0
528220	2.0	220.0	276041.0	0.0	0.0	2401.0	0.0	0.12836929278147374	6.790025000000001	-0.05169481212362884	0.04346749782661862	-0.0010561345323148114	0.08916192631396581	4.303326194078796e-05	1.8216935072671931	1.821736543653483	0.45437800336410045	1.873005860629567	2057.0	0.0	0.0	2401.0	0.0	1487.7369618415833	306.2042820453644	172.50575219641894	1117.2327852249146	64.29989457130432	447.0633855773698	589.0	528220.0
576240	2.0	240.0	276041.0	0.0	0.0	2401.0	0.0	0.12838577357243042	6.789025000000001	-0.027978761838176307	0.04335193181121572	0.001973696242990453	0.05981834740676786	8.339651421823008e-06	0.9403049058933325	0.9403132524162048	0.2370520068910273	1.887679511850531	2244.0	0.0	980.0	2401.0	980.0	1627.6270062923431	335.28504371643066	171.8657037643941	1222.888489484787	69.45347309112549	445.8881756431023	588.0	576240.0
