Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	train/cost_speed	loss/kl	loss/entropy	loss/rew_loss	loss/cost_loss	loss/optim_A	loss/optim_B	loss/optim_C	loss/optim_Q	loss/optim_R	loss/optim_S	loss/optim_lam	loss/optim_nu	loss/optim_case	loss/step_size	loss/vf0	loss/vf1	loss/vf_total	update/gradient_steps	test/reward	test/cost	test/length	test/cost_speed	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
42020	20.0	15595.0	-1886.3908465179932	779.75	2101.0	779.75	0.0070309743750840425	1.8368330597877502	0.0008541022363686146	779.7369842529297	0.0023601387219969183	-49610218.0	777.7369842529297	0.0023836877662688494	0.00042609563570294995	0.01263841986656189	0.0	1.2756029069423676	0.0	0.056541834589657974	113.22569417953491	0.11593902111053467	113.34163331985474	4.0	-2457.3022278617955	800.0	2101.0	800.0	142.057523727417	23.062135219573975	182.20342392379848	88.59668064117432	30.3987078666687	353.12292792951763	199.0	42020.0
84040	2.0	40.0	33337.0	-2253.9897366184164	887.1	2101.0	887.1	0.007149873301386833	1.8320316672325134	-0.0006119713948113947	887.0877075195312	0.0009662467964517419	-87825147.0	885.0877075195312	0.001177456921141129	-0.0011504777939990163	0.010172705864533782	0.0	1.4779475927352905	0.0	0.047770661362516224	28.25266933441162	0.07398443855345249	28.326653957366943	8.0	-1512.9170207535612	0.0	2101.0	0.0	284.7441358566284	45.79656147956848	183.50722692902025	176.65874814987183	62.28882622718811	351.7089479526779	198.0	84040.0
126060	2.0	60.0	44779.0	-1985.0827866809038	572.1	2101.0	572.1	0.007356952875852585	1.8245929777622223	0.0007499424134769228	572.0974273681641	0.0014060991816222668	-86779784.0	570.0974273681641	0.0022697055246680975	0.0017325653752777725	0.00380126218078658	0.0	2.3064053654670715	0.0	0.08604798840461057	11.597771644592285	0.048751226626336575	11.646522760391235	12.0	-2721.5912108543225	1119.5	2101.0	1119.5	425.3560245037079	68.73316979408264	183.40489806837445	264.83872056007385	91.78413414955139	353.4826731804456	197.0	126060.0
168080	2.0	80.0	62314.0	-2303.8684796024045	876.75	2101.0	876.75	0.006822593044489622	1.8295573890209198	0.002961351400122325	876.7449188232422	0.0005703188799088821	-307368452.0	874.7449188232422	0.0016857361770235002	0.0017869063594844192	0.0028633017791435122	0.0	2.794785797595978	0.0	0.0510490969368859	23.208606839179993	0.03362549189478159	23.24223232269287	16.0	-3887.7691266573966	1766.5	2101.0	1766.5	566.920862197876	91.51949691772461	183.65485569823744	353.2722852230072	122.12908005714417	353.5538857801794	196.0	168080.0
210100	2.0	100.0	88576.0	-2813.1431490738496	1313.1	2101.0	1313.1	0.0064838697435334325	1.828745037317276	-0.00010708346681731484	1313.0972900390625	0.0010327131894882768	-938407104.0	1311.0972900390625	0.0012868727644672617	0.0006650751165580004	0.001888109283754602	0.0	3.290979325771332	0.0	0.04526083094122904	23.266005516052246	0.024393425323069096	23.290399432182312	20.0	-4198.214728919545	1784.5	2101.0	1784.5	707.7347378730774	114.55736470222473	183.4015652735418	441.5539128780365	151.62346029281616	354.19422503744926	195.0	210100.0
252120	2.0	120.0	110131.0	-2745.438616508143	1077.75	2101.0	1077.75	0.006513573229312897	1.8457865417003632	0.0004231062180540812	1077.7481994628906	0.0010739937133621424	-1403926992.0	1075.7481994628906	0.0013635079667437822	0.0005065530422143638	0.0009136786102317274	0.0	4.872854292392731	0.0	0.06493515438076508	17.757250785827637	0.018357488326728344	17.775608777999878	24.0	-1922.9553718084449	0.0	2101.0	0.0	846.3205444812775	137.32702112197876	183.59096260892312	529.4272360801697	179.56628727912903	355.6026842183612	194.0	252120.0
294140	2.0	140.0	128451.0	-2900.893862042528	916.0	2101.0	916.0	0.006573966704308987	1.8991233706474304	0.0012993552023434773	915.9972076416016	0.0009409266785951331	-764426992.0	913.9972076416016	0.001158988568931818	0.0004885474190814421	0.0010973245953209698	0.0	4.275700211524963	0.0	0.048879896214953394	12.010457634925842	0.014397555496543646	12.024855017662048	28.0	-3276.8041475135024	911.0	2101.0	911.0	985.595160484314	160.06595826148987	183.76174621681997	617.3039927482605	208.2252094745636	356.30477905323903	193.0	294140.0
336160	2.0	160.0	149680.0	-3288.1088446647323	1061.45	2101.0	1061.45	0.007300773169845343	1.922777146100998	0.0012960910989328056	1061.4467468261719	0.0010695876262616366	-656450192.0	1059.4467468261719	0.0018463089072611183	0.0011523614812176675	0.0017570150666870177	0.0	3.4074333906173706	0.0	0.0351528512218476	8.281410932540894	0.01162504288367927	8.293035984039307	32.0	-3380.7849740785723	894.5	2101.0	894.5	1126.4343509674072	182.89823150634766	183.79620034124454	705.2718796730042	238.26423978805542	356.2767689190446	192.0	336160.0
378180	2.0	180.0	169388.0	-3296.8846205197683	985.4	2101.0	985.4	0.0070946726482361555	1.9265497326850891	0.0009606048017971602	985.3977508544922	0.0014359031047206372	-1330180864.0	983.3977508544922	0.0015031534421723336	0.00023394091476802714	0.0008197336283046752	0.0	5.18179178237915	0.0	0.03808286739453484	6.6938499212265015	0.009671518811956048	6.703521490097046	36.0	-4637.272796942914	1848.5	2101.0	1848.5	1267.8620841503143	205.66191959381104	183.884309135555	793.2753131389618	268.9248514175415	356.0345899192175	191.0	378180.0
420200	2.0	200.0	188905.0	-3258.9218430937963	975.85	2101.0	975.85	0.006617625243961811	1.9477324783802032	0.001485597183805254	975.8460693359375	0.0030542382155545056	-702331408.0	973.8460693359375	0.0033978642895817757	0.0006697741919197142	0.0013860351173207164	0.0	3.837081253528595	0.0	0.039337281154151665	6.665227770805359	0.008124947431497276	6.673352777957916	40.0	-3649.715317431935	1198.0	2101.0	1198.0	1407.5695152282715	228.1416459083557	184.18382068164527	881.2607762813568	298.16709303855896	356.27443689481123	190.0	420200.0
