Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	train/cost_speed	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/actor_rew	loss/actor_total	loss/kl	loss/vf0	loss/vf1	loss/vf_total	loss/total	loss/entropy	update/gradient_steps	test/reward	test/cost	test/length	test/cost_speed	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
30020	20.0	7539.0	-1015.5344263780659	376.95	1501.0	376.95	0.017412509756446874	56.429975	-0.29123002609126586	0.07039734128958139	-0.0038452511768183226	0.1127092162163084	50.7687949726724	27.352711033617325	78.12150580251321	19.526531227633473	2.8346767079116963	117.0	-966.9230291527642	0.0	1501.0	0.0	77.6258807182312	15.310423374176025	196.07557065100175	59.09691309928894	3.2185442447662354	481.74243244744275	599.0	30020.0
60040	2.0	40.0	8141.0	-897.5099241853686	30.1	1501.0	30.1	0.3836525642378262	1.6065250000000002	-0.005764637242417595	0.004259748660967262	-0.0005773543720258866	0.008728424172239523	6.540758185661765	1.9026433461242236	8.44340151675745	2.110273018543027	2.830450364667126	585.0	-866.8876030075288	82.0	1501.0	82.0	164.63358187675476	30.84327530860901	194.6615571765868	118.25019812583923	15.540108442306519	448.76195847132453	598.0	60040.0
90060	2.0	60.0	8769.0	-888.3374812461847	31.4	1501.0	31.4	0.355085264849222	1.8162249999999995	-0.02216123912929215	0.008336226279005559	-0.004909058121387302	0.014137098961584386	2.573090031743052	1.7011971454271377	4.274287171980253	1.063662735952271	2.815803538020859	1053.0	-506.7764179455884	0.0	1501.0	0.0	251.7102599143982	46.515867471694946	193.61135220105655	177.3206033706665	27.873789072036743	438.90088285501076	597.0	90060.0
120080	2.0	80.0	8818.0	-818.8272532830784	2.45	1501.0	2.45	0.807135074054643	0.23895000000000002	-0.0022242182786947097	0.0004556609146519858	-0.0014274646165787408	0.005106252520872504	1.158261490094228	0.2369594441360642	1.3952209336253303	0.34737777011867027	2.8134694715850364	1521.0	-743.1489427174047	0.0	1501.0	0.0	338.28814125061035	61.95109438896179	193.83031274003676	236.11558437347412	40.22146248817444	434.5418081424294	596.0	120080.0
150100	2.0	100.0	8818.0	-751.5730746284847	0.0	1501.0	0.0	0.896499170738267	0.11545	-0.0003198238699928295	-0.0008695369213720005	-0.0010662609702393332	0.003959064160325297	0.5768103792976876	0.018989179921177258	0.5957995590825494	0.14788362876169842	2.822509623490847	1989.0	-604.742868250122	0.0	1501.0	0.0	425.12719535827637	77.3984305858612	193.93158086518048	295.24868273735046	52.4800820350647	431.6582785385583	595.0	150100.0
180120	2.0	120.0	8819.0	-742.80574099533	0.05	1501.0	0.05	0.8912854564495645	0.121975	-0.0003406182858091976	-0.0027329563098545725	-0.0027394323984608025	0.004822021351259547	0.4032558634256322	0.010487912965512585	0.41374377461357287	0.10069651186115974	2.8304143221969285	2457.0	-660.6865197377133	0.0	1501.0	0.0	511.9187660217285	92.93917846679688	193.80416630683803	354.1693022251129	64.81028532981873	429.90161179722105	594.0	180120.0
210140	2.0	140.0	8819.0	-703.5434212775514	0.0	1501.0	0.0	0.898089314982375	0.11347499999999999	0.00024348855119111007	-0.0017221036310403194	-0.0013279283557562957	0.0034367749749824126	0.1977491306069376	0.01210369437467307	0.20985282470400518	0.05113527774870493	2.826855310008058	2925.0	-536.3901588926758	0.0	1501.0	0.0	598.6740174293518	108.19748950004578	194.21892409057338	413.284300327301	77.192227602005	428.4404819271763	593.0	210140.0
240160	2.0	160.0	8819.0	-632.9118279286823	0.0	1501.0	0.0	0.898896604418077	0.11247499999999999	0.00015284909659676952	-0.0017249874730094965	-0.0014131897957976197	0.003846377964404168	0.1442597122369412	0.00216624998046248	0.14642596154863752	0.03519330040151735	2.8099088765617126	3393.0	-606.9055695047999	0.0	1501.0	0.0	685.8139274120331	123.72345781326294	194.11032009990853	472.6360273361206	89.45444226264954	427.2621810710122	592.0	240160.0
270180	2.0	180.0	9289.0	-669.7480296906367	23.5	1501.0	23.5	0.21513588520349167	3.648225	-0.01924662197014034	0.0074334840478138065	-0.002541429956542709	0.010439856421000765	0.360022215273475	0.7779374469676592	1.1379596630052975	0.2819484859025716	2.808923090285387	3744.0	-675.9419742750493	0.0	1501.0	0.0	770.1494131088257	139.36570715904236	193.86404697941512	532.0834472179413	98.70025873184204	428.32431695930495	591.0	270180.0
300200	2.0	200.0	9289.0	-707.8124366004034	0.0	1501.0	0.0	0.8910869032502394	0.122225	-8.822568341777235e-06	-0.002944885585437186	-0.002632010582381825	0.005243003179824669	0.12910133103529603	0.005556620885797139	0.13465795231362193	0.03103247746172493	2.8227849781003784	4212.0	-622.7281343789266	0.0	1501.0	0.0	856.9268367290497	154.72502732276917	194.02161705472383	591.2841718196869	110.91763758659363	427.51242730892767	590.0	300200.0
330220	2.0	220.0	9289.0	-645.2579032114973	0.0	1501.0	0.0	0.8918816473054026	0.121225	0.0002994313920983888	-0.004305737001053255	-0.00357315046439638	0.005467144622786853	0.10868711646996493	0.005282885857169225	0.11397000209579604	0.024919350099208593	2.823977600814952	4680.0	-571.1228484955536	0.0	1501.0	0.0	944.2841572761536	170.40552854537964	193.78479255857076	650.7038881778717	123.17474055290222	426.70773909545557	589.0	330220.0
