Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/kl	loss/entropy	loss/rew_loss	loss/cost_loss	loss/optim_A	loss/optim_B	loss/optim_C	loss/optim_Q	loss/optim_R	loss/optim_S	loss/optim_lam	loss/optim_nu	loss/optim_case	loss/step_size	loss/vf0	loss/vf1	loss/vf_total	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
10000	20.0	639.0	-5.293198402869452	31.95	500.0	0.007258053403347731	2.8003393411636353	-0.00176796804433689	31.944209575653076	0.011999239912256598	-67617.90087890625	21.944209575653076	0.015009371563792229	-0.004536257649306208	0.0103688002564013	0.0	1.6216837167739868	0.0	0.17912598928448473	0.17633885890245438	14.61088752746582	14.78722620010376	4.0	-12.440664913289869	46.5	500.0	12.509812116622925	1.9197914600372314	520.8899095637223	5.259979486465454	5.330041170120239	944.2852213684047	199.0	10000.0
20000	10.0	40.0	1544.0	-5.435364333099761	45.25	500.0	0.007213885895907879	2.798833727836609	0.004598094866052449	45.24370765686035	0.007799545885063708	-297766.17578125	35.24370765686035	0.00834788498468697	0.0015552477561868727	0.004412812879309058	0.0	2.1761756241321564	0.0	0.08593632052408882	0.13426081277430058	17.943689346313477	18.07795000076294	8.0	-15.322348593742241	173.0	500.0	25.307213068008423	4.001908302307129	499.7615759578963	10.655416250228882	10.649888515472412	938.7333445798597	198.0	20000.0
30000	10.0	60.0	3357.0	-2.5828258689730825	90.65	500.0	0.006579475477337837	2.7876052856445312	0.00340727081750547	90.64386749267578	0.009550034068524837	-3167339.356201172	80.64386749267578	0.006972635164856911	-0.028427550889318812	-0.24082749313674864	0.0	2.527821734547615	0.25	0.13395987894781677	0.10483694449067116	34.51197528839111	34.616811752319336	12.0	-10.265548068790293	282.0	500.0	38.004281759262085	5.988275766372681	500.97893234085484	16.034451246261597	15.981554746627808	937.0313088604134	197.0	30000.0
40000	10.0	80.0	3952.0	-2.0827748327696884	29.75	500.0	0.007236290257424116	2.7715821862220764	0.009346820966526836	29.74446201324463	0.01659745117649436	-158346.01953125	19.74446201324463	0.019636988174170256	0.002884431160055101	0.002774825319647789	0.0	2.816182017326355	0.0	0.08651344049437831	0.08814817108213902	11.724967002868652	11.813114881515503	16.0	-13.130435285924786	51.0	500.0	51.03130221366882	8.007138729095459	499.55422721292945	21.461235523223877	21.562927961349487	929.7101154411125	196.0	40000.0
50000	10.0	100.0	5010.0	-1.0532623207493441	52.9	500.0	0.007447903277352452	2.7772903442382812	0.0006988552471856035	52.89592742919922	0.013356148032471538	-520218.9609375	42.89592742919922	0.013872910058125854	0.0013219105021562427	0.003891460597515106	0.0	2.3543052077293396	0.0	0.08320383054578238	0.07933397963643074	23.527761459350586	23.60709524154663	20.0	-8.919988596327308	213.5	500.0	63.73468232154846	9.993424415588379	500.32899555438496	26.819504499435425	26.921753406524658	930.3838791323647	195.0	50000.0
60000	10.0	120.0	5435.0	-1.09205357552808	21.25	500.0	0.005891761858947575	2.781470835208893	0.0015475117683412254	21.244438648223877	-0.0034733536886051297	-809119.6401367188	11.244438648223877	0.009561839746311307	9.834358934313059e-06	0.0016070998972281814	0.0	9.343918830156326	0.0	0.11507323326372518	0.07009784504771233	7.938325524330139	8.008423209190369	24.0	-19.255647110421727	64.5	500.0	76.4681384563446	11.99800181388855	500.08327162066007	32.29901146888733	32.171125173568726	930.6634532629128	194.0	60000.0
70000	10.0	140.0	5686.0	-0.7463786761124103	12.55	500.0	0.006495062727481127	2.7890111207962036	0.007862121295928948	12.543169975280762	0.01773630199022591	-1579.3128967285156	2.5431699752807617	0.02182828728109598	0.0040796115063130856	0.004486892663408071	0.0	2.1896010637283325	0.0	0.06265307265078252	0.06013373751193285	5.982592582702637	6.042726397514343	28.0	-4.808737324063202	0.0	500.0	89.06546878814697	13.933872938156128	502.3728887918445	37.65330910682678	37.47828674316406	931.6985644729724	193.0	70000.0
80000	10.0	160.0	6606.0	-0.6041043003286329	46.0	500.0	0.007090194383636117	2.8066864609718323	-0.002506781842652628	45.994351387023926	0.011526177637279034	-341011.28515625	35.994351387023926	0.011557298712432384	-0.0002215560816694051	0.004213094594888389	0.0	2.267608106136322	0.0	0.11135900949627628	0.05614559259265661	21.04160737991333	21.097753047943115	32.0	-5.995320672217442	36.5	500.0	101.89588952064514	15.929287195205688	502.21958471611947	43.0958309173584	42.870771408081055	930.5939496962787	192.0	80000.0
90000	10.0	180.0	7048.0	-0.2197420847239092	22.1	500.0	0.0067937534768134356	2.7935023307800293	0.0015719691914972689	22.094083309173584	0.016907862154766917	-49302.9716796875	12.094083309173584	0.017162279691547155	0.0008300562039949	0.003341686853673309	0.0	2.5646492540836334	0.0	0.07506332099203818	0.04879677854478359	10.574569463729858	10.623366355895996	36.0	-20.55482145968663	75.5	500.0	114.74373960494995	17.912111043930054	502.45333885700006	48.583956480026245	48.24767208099365	929.4483769142141	191.0	90000.0
100000	10.0	200.0	7869.0	-1.35204793729899	41.05	500.0	0.0068249020259827375	2.771764576435089	0.003606633175350815	41.04308891296387	-0.03942597494460642	-127369.3369140625	31.043088912963867	-0.036511910264380276	0.001645404205191881	0.00942864315584302	0.0	1.5929622948169708	0.0	0.15347235579648988	0.04840399418026209	19.003066062927246	19.051470279693604	40.0	-9.14752655573376	68.5	500.0	127.4059624671936	19.784579515457153	505.4441511980213	54.088561058044434	53.53282189369202	929.1833765493024	190.0	100000.0
