Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	train/cost_distance	train/cost_speed	loss/estep_loss	estep/dual0	estep/dual1	estep/estep_time	mstep/mstep_kl_mu	mstep/mstep_kl_std	mstep/mstep_loss_kl	mstep/mstep_loss_mle	mstep/mstep_loss_total	mstep/mstep_dual_mu	mstep/mstep_dual_std	mstep/entropy	mstep/mstep_time	loss/loss_q0	estep/val_q0	loss/loss_q1	estep/val_q1	estep/thres_q1	loss/q_total	update/gradient_steps	test/reward	test/cost	test/length	test/cost_distance	test/cost_speed	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
5000	10.0	2163.0	-509.3672684158385	216.3	500.0	13.3	203.0	-22.003411527872093	2.0504625020027163	2.774285157460631	28.19924539446831	0.0049860285202448775	0.000520571834291331	-0.00035952853680016087	0.3684538642168039	0.3680943356156344	0.15301935675740252	0.4011706955172123	5.951176975250241	24.39362113404276	0.6527228817790737	-24.675208483695975	0.21361160355806377	-0.05381863390095531	0.033333333333333305	0.8663344868421543	1000.0	-593.2874940933021	0.0	500.0	0.0	0.0	230.98481726646423	9.976032495498657	100.24025086638558	18.280958652496338	202.72782611846924	22.623535101473763	399.0	5000.0
10000	2.0	2.0	20.0	4515.0	-544.0815411485577	235.2	500.0	8.9	226.3	-35.892574220657316	8.03003322076797	12.771089555740346	84.42331311869616	0.004935999059354793	0.0005182467600097882	-0.00038851336895949756	0.3771532090306288	0.37676469519734357	0.18256179209053536	0.44083395558595695	5.950978065490725	72.97909246253963	1.1343489690423005	-37.233585365295475	0.2147686516791583	-0.304012897862121	0.033333333333333305	1.349117621302604	2000.0	-861.531925598437	191.0	500.0	0.0	191.0	460.9683401584625	19.906689882278442	100.46873748610825	36.34429121017456	404.7173590660095	22.67256741486864	398.0	10000.0
15000	2.0	2.0	30.0	6979.0	-653.7020766404297	246.4	500.0	4.5	241.9	-38.79615669250494	3.2722539286613483	2.0125167494490768	140.503987972021	0.004720843817527572	0.0005162894380046052	-0.0001098062558961813	0.37643398860096955	0.3763241826891893	0.04284390284121037	0.324448716932908	5.956994988441464	121.63013759970667	1.2069537125229841	-41.28907791900632	0.1883318045139312	-0.6159950153529637	0.033333333333333305	1.395285516858101	3000.0	-849.7773445068287	316.5	500.0	29.0	287.5	690.4209356307983	29.708258152008057	100.98202273084874	54.37678003311157	606.3358974456787	22.702757963171546	397.0	15000.0
20000	2.0	2.0	40.0	9447.0	-554.2169239544958	246.8	500.0	24.9	221.9	-39.93216015243533	2.3944223117828383	1.1920928955078125e-06	196.66344111824014	0.004882520905787712	0.0005125932947266846	-7.748117233046793e-05	0.3755330550670629	0.3754555736184121	0.03097041288018231	0.2900513839228075	5.948540007591248	170.27117944407487	1.151435931086537	-41.01100801849368	0.29113252311199894	-0.48606959809362943	0.033333333333333305	1.4425684537291517	4000.0	-455.19332597451506	34.5	500.0	12.5	22.0	919.5560522079468	39.6655650138855	100.84313682660874	72.46368503570557	807.4268021583557	22.730101405891173	396.0	20000.0
25000	2.0	2.0	50.0	11576.0	-635.6563491652965	212.9	500.0	17.3	195.6	-40.019047245025625	2.589986066341403	1.1920928955078125e-06	253.21213203644768	0.004788970588648223	0.0005226530594518412	-6.253508960377013e-05	0.37374673441052436	0.3736841992437841	0.0177996139228344	0.30337746233073987	5.938647842884071	218.7029991307258	1.0724980820417402	-41.906313346862824	0.31344640924781497	-0.49507108415663276	0.033333333333333305	1.3859444912672028	5000.0	-536.3536508518608	10.0	500.0	10.0	0.0	1149.3744478225708	49.41198253631592	101.19003009695454	90.4691526889801	1009.4933125972748	22.728048264350534	395.0	25000.0
30000	2.0	2.0	60.0	13472.0	-543.1205100211328	189.6	500.0	40.1	149.5	-39.02689942932124	2.2429197037220003	1.1920928955078125e-06	309.80062354922296	0.004764247283139407	0.0005175740539561963	-6.430723674952877e-05	0.3694633246064193	0.36939901751279824	0.005328254744410503	0.3467311574090275	5.879764018535616	267.5684684126379	0.9570907499194148	-41.445136581420854	0.39360245202481686	-0.29572480514272986	0.033333333333333305	1.3506932013630872	6000.0	-689.6869078967493	65.0	500.0	3.0	62.0	1379.450865983963	59.113186836242676	101.50019515309504	108.54158067703247	1211.7960984706879	22.721460179311887	394.0	30000.0
35000	2.0	2.0	70.0	15021.0	-584.9906861924982	154.9	500.0	10.1	144.8	-38.259198120117134	2.033043903827669	1.1920928955078125e-06	366.1772690289018	0.004691424689581253	0.0005248846242902799	-5.008185403334675e-05	0.36606054699420937	0.3660104653239248	0.0	0.3130102490060958	5.8344553527832	316.41804489207254	0.8688158938288678	-41.45675070571899	0.3978813092261554	-0.3634407922029503	0.033333333333333305	1.2666972034573563	7000.0	-604.9012333055464	26.5	500.0	26.5	0.0	1608.8588824272156	69.05505728721619	101.3683903104353	126.71924424171448	1413.084580898285	22.730168238683127	393.0	35000.0
40000	2.0	2.0	80.0	15973.0	-481.9849767443572	95.2	500.0	24.6	70.6	-37.23777629470826	1.9290136253833763	1.1920928955078125e-06	422.2865696413516	0.004702110362250094	0.0005136293888790532	-6.074970816852244e-05	0.363197400331497	0.36313665083050717	0.0	0.3409830874223257	5.7939195914268495	365.1623188896178	0.7907510996460921	-40.5906922874451	0.40986212199926375	-0.30151640242617606	0.033333333333333305	1.2006132228970523	8000.0	-416.9558028325114	20.5	500.0	20.5	0.0	1838.4992690086365	78.97884345054626	101.29294948474796	145.03891944885254	1614.4815061092377	22.7334672669757	392.0	40000.0
45000	2.0	2.0	90.0	16441.0	-402.5667751917343	46.8	500.0	46.8	0.0	-35.73278966522215	1.9873153524398819	0.06803644185263692	478.4580460772511	0.004305908284339248	0.0005222081292886289	-6.155506160620214e-05	0.3631704593598837	0.36310890409350427	0.0	0.32183839423954436	5.80614449596404	414.2384414801599	0.7288833078145989	-39.321782939910925	0.48582704532146476	-0.07433738561347125	0.033333333333333305	1.214710354030131	9000.0	-604.5720206974029	14.0	500.0	14.0	0.0	2068.4384803771973	88.8164370059967	101.33259454432222	163.09048128128052	1816.53156208992	22.731611900707662	391.0	45000.0
50000	2.0	2.0	100.0	17379.0	-527.41783878336	93.8	500.0	12.1	81.7	-35.982785633087175	2.794240034103396	1.619582841813564	534.5039133441444	0.004978287935955459	0.0005104118048911911	-0.0001991095382732588	0.36214624893665276	0.3619471389949319	0.06941900102049109	0.30968979871086816	5.7793715543746975	462.6942643597124	0.7073300569355491	-39.182132240295374	0.4569684666097162	-0.07435532156378041	0.033333333333333305	1.1642985212206856	10000.0	-409.3004951286804	5.0	500.0	5.0	0.0	2297.4262657165527	98.61432933807373	101.4051412925761	181.1641879081726	2017.6477484703064	22.73955274335638	390.0	50000.0
55000	2.0	2.0	110.0	18018.0	-530.6901531929224	63.9	500.0	20.7	43.2	-36.66180612182618	8.176197081089018	6.625575608015061	590.5986745913018	0.004929991901110048	0.0005067413101205606	-0.00032659548503381633	0.3656761712133886	0.365349575400352	0.12611883040517555	0.2978719737622892	5.816903724193565	511.0041210868366	0.6663856030702594	-39.11242145156865	0.46819099952280524	-0.058487542919814596	0.033333333333333305	1.1345766037106517	11000.0	-353.81618581364944	31.0	500.0	31.0	0.0	2526.3164258003235	108.57015109062195	101.31698159670476	199.20452284812927	2218.5417518615723	22.74845817169291	389.0	55000.0
