Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/rescaling	loss/actor_rew	loss/actor_total	loss/kl	loss/vf0	loss/vf_total	loss/total	loss/entropy	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
42020	20.0	0.0	-1395.0724651272621	0.0	2101.0	1.0	-0.0003805834457147638	-0.0003805834457147638	0.004326229520346508	7.914765891687182	7.914765891687182	1.9783108849873436	2.854946313834774	656.0	-1610.6425207538105	0.0	2101.0	74.93800497055054	20.272364377975464	207.27725299596457	43.579041957855225	11.086598634719849	768.672964306346	199.0	42020.0
84040	nan	40.0	0.0	-1401.50432357819	0.0	2101.0	1.0	-0.0007934944254130388	-0.0007934944254130388	0.0031943341000885846	2.6718979943884436	2.6718979943884436	0.6671810090803076	2.862465380531985	1312.0	-1526.6261067556165	0.0	2101.0	149.78014492988586	40.43073296546936	207.8616780748842	87.1213927268982	22.22801923751831	768.5455137824384	198.0	84040.0
126060	nan	60.0	0.0	-1427.517165867089	0.0	2101.0	1.0	-0.0002989399892124687	-0.0002989399892124687	0.0021335892955953437	2.0425670826694007	2.0425670826694007	0.5103428341028071	2.871749853579009	1968.0	-1626.2689007225551	0.0	2101.0	222.4367756843567	60.67033767700195	207.7786358650597	128.4323558807373	33.33408212661743	779.271655807051	197.0	126060.0
168080	nan	80.0	0.0	-1455.9405787516137	0.0	2101.0	1.0	-0.0008915614122177037	-0.0008915614122177037	0.0022536898361910813	1.1959172084064398	1.1959172084064398	0.2980877395517695	2.886142529002049	2624.0	-1421.0770058100425	0.0	2101.0	296.3058977127075	80.78360724449158	208.06201373417989	171.04049587249756	44.481794595718384	779.872929314416	196.0	168080.0
208425	nan	100.0	0.0	-1240.6483064658655	0.0	2017.0	1.0	-0.0003370485333599754	-0.0003370485333599754	0.0015264244436488067	0.748283252001377	0.748283252001377	0.18673376464818853	2.909739262359158	3252.0	-786.7593562110544	0.0	2101.0	368.4022581577301	101.04977798461914	207.91732964715615	212.19431042671204	55.158169746398926	779.5888030103354	195.0	208425.0
250445	nan	120.0	0.0	-1343.3301518171297	0.0	2101.0	1.0	-0.0009477069642587863	-0.0009477069642587863	0.002382149134352469	0.5147238036492696	0.5147238036492696	0.12773324334539662	2.941505265672033	3908.0	-1053.858774771597	0.0	2101.0	440.5256197452545	121.24570393562317	207.94138828528398	252.97482657432556	66.30508923530579	784.4057442978226	194.0	250445.0
292465	nan	140.0	0.0	-1153.9030673569712	0.0	2101.0	1.0	-0.002025865024578951	-0.002025865024578951	0.004040214994059103	0.2462392703732246	0.2462392703732246	0.05953395217174397	2.9569735098175887	4564.0	-1103.2890883784921	0.0	2101.0	514.3248608112335	141.34349584579468	208.10296097452255	295.5390429496765	77.44232201576233	784.1276467715762	193.0	292465.0
334485	nan	160.0	0.0	-1175.8001153432645	0.0	2101.0	1.0	-0.0014751000097731313	-0.0014751000097731313	0.004020313432059681	0.2216404578762088	0.2216404578762088	0.053935014190600955	2.9663872006462855	5220.0	-982.3854103936493	0.0	2101.0	588.022458076477	161.0491545200348	208.73130380711257	338.4557931423187	88.51751041412354	783.3862145804718	192.0	334485.0
376505	nan	180.0	0.0	-1076.6251691776793	0.0	2101.0	1.0	-0.002527724522046699	-0.002527724522046699	0.00457212899305976	0.15853242111880697	0.15853242111880697	0.03710538082012181	2.9590141864084605	5876.0	-914.8355258908882	0.0	2101.0	662.8105669021606	181.18709349632263	208.72347621585723	381.98046350479126	99.64300990104675	781.741382614754	191.0	376505.0
416607	nan	200.0	0.0	-843.8101877153898	0.0	2005.0	1.0	-0.0026123134179775118	-0.0026123134179775118	0.0037175058096181606	0.17930459448148353	0.17930459448148353	0.04221383514754373	2.95810631452463	6500.0	-1073.7947272729443	0.0	2101.0	736.1569445133209	201.37091708183289	208.66965602050647	424.6815981864929	110.10442924499512	779.016239449846	190.0	416607.0
455592	nan	220.0	0.0	-838.8469039704984	0.0	1949.0	1.0	-0.0034921868897838187	-0.0034921868897838187	0.005223020696001567	0.27752859116605455	0.27752859116605455	0.0658899608993363	2.9488960284935812	7108.0	-649.3709066460013	0.0	2101.0	804.8208043575287	221.50985503196716	208.66791679913962	462.92842197418213	120.3825273513794	781.0448278517088	189.0	455592.0
497612	nan	240.0	0.0	-844.0817652611113	0.0	2101.0	1.0	-0.00458586792328566	-0.00458586792328566	0.006929878131791709	0.06451575609673631	0.06451575609673631	0.011543071116803477	2.933216544186195	7764.0	-1011.4080352278568	0.0	2101.0	878.6208140850067	241.6374475955963	208.6762647997733	505.4947166442871	131.4886498451233	781.2009326750177	188.0	497612.0
535763	nan	260.0	0.0	-726.5619447925064	0.0	1907.0	1.0	-0.0004886497257843037	-0.0004886497257843037	0.006655992355403542	0.19208534383808817	0.19208534383808817	0.047532686251121864	2.9307895018750405	8360.0	-915.432847979667	0.0	2101.0	951.7741079330444	262.11721181869507	208.4029492797462	548.0342772006989	141.6226189136505	776.8544083566551	187.0	535763.0
577783	nan	280.0	0.0	-896.7876386405512	0.0	2101.0	1.0	-0.00032023502060882274	-0.00032023502060882274	0.005734808298434589	0.06570084822057495	0.06570084822057495	0.016104977027081517	2.924408840333544	9016.0	-810.1798323694652	0.0	2101.0	1029.0803294181824	282.1791181564331	208.47751025781864	594.1103549003601	152.79085636138916	773.5735212210249	186.0	577783.0
