Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/actor_rew	loss/actor_total	loss/kl	loss/vf0	loss/vf1	loss/vf_total	loss/total	loss/entropy	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
30000	30.0	0.0	-1232.704321552074	0.0	750.0	1.0	0.0	0.0	0.0430728804344183	0.0430728804344183	0.06508036620176302	317.34467315673845	0.010917160053865917	317.35559167533086	79.38197117838365	1.8522285849883637	87.0	-1012.2470464291433	0.0	750.0	60.74769306182861	10.06954050064087	148.96409621715443	42.25983285903931	8.418319702148438	591.9710661074045	249.0	30000.0
60000	10.0	70.0	0.0	-1047.5896960617022	0.0	750.0	1.0	0.0	0.0	0.0251715662357285	0.0251715662357285	0.0482499830480986	88.74703718053883	0.0010026443244363504	88.74803944291737	22.2121814571578	1.8890994016466467	203.0	-1752.3990838686364	0.0	750.0	120.94165086746216	20.43961811065674	146.7737794198743	83.77668595314026	16.72534680366516	597.002850133269	248.0	60000.0
90000	10.0	110.0	0.0	-742.0838373376625	0.0	750.0	1.0	0.0	0.0	-0.0017114751490539522	-0.0017114751490539522	0.012991761080616282	14.659171311334637	0.00014245736818484984	14.659313787674074	3.6631169702814903	1.8977702400465122	464.0	-750.8568389366945	0.0	750.0	197.60665798187256	31.036298513412476	144.99151688643877	125.7969810962677	40.77337837219238	540.3122157339247	247.0	90000.0
120000	10.0	150.0	0.0	-549.4769433484212	0.0	750.0	1.0	0.0	0.0	-0.003021005603057284	-0.003021005603057284	0.0058130815234798	2.8832996068843473	2.8149339368022468e-05	2.8833277553063015	0.717810934216812	1.8910712306869462	928.0	-551.2394256438517	0.0	750.0	282.3676083087921	41.64021182060242	144.09148603397276	169.16119408607483	71.56620240211487	498.4891697023247	246.0	120000.0
150000	10.0	190.0	0.0	-552.2277283426488	0.0	750.0	1.0	0.0	0.0	-0.011715203981268503	-0.011715203981268503	0.009165360298256618	3.485941453226679	1.6486866123723904e-05	3.4859579380216297	0.8597742800183337	1.8734350962371664	1392.0	-256.8573743062434	0.0	750.0	368.58694338798523	52.56736612319946	142.67406859272026	211.45593523979187	104.5636420249939	474.65413788057293	245.0	150000.0
179782	10.0	230.0	0.0	-342.455188628085	0.0	744.5	1.0	0.0	0.0	-0.010999391156646027	-0.010999391156646027	0.013999748776755961	2.178892093313324	3.651280718446556e-06	2.178895746286098	0.533724545963577	1.8264516121024021	1680.0	-250.15424427017203	0.0	750.0	440.806396484375	63.35425567626953	142.05833379194937	253.17286443710327	124.2792763710022	476.3040941166635	244.0	179782.0
209142	10.0	270.0	0.0	-285.8024052433718	0.0	734.0	1.0	0.0	0.0	-0.00888082795763557	-0.00888082795763557	0.013370537382185493	1.1694246344081118	4.61751090252258e-06	1.169429248713668	0.28347648443401446	1.7927219765869222	2105.0	-222.81155519970926	0.0	750.0	521.0764377117157	73.9479238986969	141.99181594853442	295.6240015029907	151.50451231002808	467.744716650881	243.0	209142.0
238581	10.0	310.0	0.0	-262.79653077341703	0.0	735.5	1.0	0.0	0.0	-0.00843868718811256	-0.00843868718811256	0.01354735980823855	1.3644926164080116	4.72525967605928e-06	1.364497338848956	0.3326856482993152	1.7617296969189362	2333.0	-246.77277698060234	0.0	750.0	587.3594250679016	84.82935094833374	141.46047170994783	338.82164192199707	163.7084321975708	474.75964581422045	242.0	238581.0
268135	10.0	350.0	0.0	-244.23390411166605	0.0	738.5	1.0	0.0	0.0	-0.006979702560655666	-0.006979702560655666	0.013998532143887129	0.7101448633215004	2.0239251726065138e-06	0.7101468864609219	0.17055701891727304	1.721429438801372	2644.0	-277.5620127022683	0.0	750.0	664.1591467857361	96.25495338439941	140.25252234123488	380.90822768211365	186.99596571922302	472.14830092038	241.0	268135.0
297724	10.0	390.0	0.0	-218.31807646653547	0.0	739.5	1.0	0.0	0.0	-0.005316431094047803	-0.005316431094047803	0.01185535772151126	0.486035032982105	6.385355490205089e-07	0.4860356703662026	0.11619248669267734	1.6735147778925137	3042.0	-196.57988250289088	0.0	750.0	747.9819414615631	107.6700587272644	139.31449631690109	423.24999618530273	217.06188654899597	464.9671637025396	240.0	297724.0
