Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	train/cost_speed	loss/estep_loss	estep/dual0	estep/dual1	estep/estep_time	mstep/mstep_kl_mu	mstep/mstep_kl_std	mstep/mstep_loss_kl	mstep/mstep_loss_mle	mstep/mstep_loss_total	mstep/mstep_dual_mu	mstep/mstep_dual_std	mstep/entropy	mstep/mstep_time	loss/loss_q0	estep/val_q0	loss/loss_q1	estep/val_q1	estep/thres_q1	loss/q_total	update/gradient_steps	test/reward	test/cost	test/length	test/cost_speed	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
9017	10.0	0.0	-455.28839581191295	0.0	901.0	0.0	-0.34504572384290716	0.21079472053440865	0.0047441482649261185	5.803427966629586	0.004858870127590939	0.0005077379542720938	-0.0003296444178658491	0.34627794889018687	0.3459483044110487	0.0944007254616582	0.2806052528703773	5.6338211062742145	6.3563567386762605	0.030303857780083356	-0.559996976093813	0.00010066129700433676	8.735445724490257e-06	0.002774694783573807	0.030404519094781503	902.0	-1078.2094865509969	0.0	2101.0	0.0	93.33101654052734	24.484023332595825	171.62212038925136	29.51255464553833	39.33443856239319	130.97158757197832	699.0	9017.0
15176	5.0	20.0	0.0	-278.9028593553777	0.0	615.0	0.0	-0.44575116038322465	0.2421902233081591	1.8320665389952149	15.51965610005638	0.005017243656269541	0.0005400603576245803	-0.0003936909283577059	0.34897022171841036	0.34857653095931235	0.13184263218532916	0.1848567690301154	5.6267188601679665	17.00488293519269	0.03367287702193215	-0.5370511648716865	2.6361781283708014e-05	7.033426343272831e-07	0.002774694783573807	0.03369923873559581	1518.0	-447.9280793133328	0.0	867.0	0.0	154.36850023269653	36.98461651802063	160.5262014034191	50.504337310791016	66.87954640388489	129.28520951724673	698.0	15176.0
26032	5.0	30.0	0.0	-502.0700758319429	0.0	1085.0	0.0	-0.42595967842509497	0.23532079548521803	0.9959502504910386	26.677350064447975	0.004893581391613614	0.0005092593941161764	-0.0003372981538989043	0.3525971630605322	0.35225986498605216	0.11465916281109798	0.14054504837189036	5.649209282016226	29.162758741369995	0.02623255410986099	-0.5269659742795302	1.1121492614596912e-05	5.536831118886496e-07	0.002774694783573807	0.02624367561812419	2604.0	-380.7910310104146	0.0	640.0	0.0	249.25408458709717	44.457236528396606	162.33577621025128	89.47745132446289	115.31939673423767	127.11133128639995	697.0	26032.0
36544	5.0	40.0	0.0	-527.6977852949063	0.0	1051.0	0.0	-0.4116921818732762	0.23860242611220844	1.1920928955078125e-06	40.594040802838585	0.004836849581033111	0.0005138248197874365	-0.00033962589188195764	0.3529794188366972	0.35263979264830114	0.11250700299706952	0.1851623249794053	5.643956261969654	44.36236517368106	0.024663984426906448	-0.535453808069457	5.140388174568027e-06	5.6684567483508e-07	0.002774694783573807	0.024669124807470823	3655.0	-856.7974322249647	0.0	1406.0	0.0	352.930700302124	65.18619275093079	153.86693986445133	125.96135544776917	161.78315210342407	127.00155534158503	696.0	36544.0
47165	5.0	50.0	0.0	-545.266078930821	0.0	1062.0	0.0	-0.40320665009053175	0.21014691415030615	1.1920928955078125e-06	54.214731690349375	0.004984895919718406	0.0005010041712323751	-0.0002160095174618659	0.3528167032364848	0.3526006934501359	0.07200893740785314	0.2024887489986284	5.642581984148185	59.26344082270189	0.02279567140819489	-0.5430016167981025	1.4754316195849126e-06	1.8722088345339506e-07	0.002774694783573807	0.022797146898351432	4717.0	-626.5416591885557	0.0	1397.0	0.0	455.8222727775574	85.62897086143494	149.77407612142687	161.34517574310303	208.8481261730194	127.40641107192842	695.0	47165.0
62371	5.0	60.0	0.0	-763.519261318266	0.0	1520.0	0.0	-0.4031511777956815	0.22229809378182527	1.1920928955078125e-06	70.98538286195298	0.004918427354377723	0.0005018920951475748	-0.00020309479539977495	0.3529332585627904	0.3527301640043435	0.0658712664436619	0.21601587764668975	5.641463913625985	77.6580097031077	0.021370927550028458	-0.5466235743628611	1.8697448272332987e-07	1.8812155786679874e-08	0.002774694783573807	0.021371114530486107	6238.0	-986.2101956331846	0.0	1906.0	0.0	592.5475127696991	108.86193346977234	152.82660770139262	208.02969908714294	275.6558802127838	128.94947186615337	694.0	62371.0
80290	5.0	70.0	0.0	-947.7166554673616	0.0	1791.0	0.0	-0.4035470032166427	0.27663367761332314	1.1920928955078125e-06	92.24582574583043	0.004970450149927377	0.0005042399907324591	-0.0001891005942563797	0.3533380885907846	0.35314898789926846	0.057874293212080354	0.24996498984234836	5.629098096596346	100.90837843450058	0.017160309929343868	-0.5559482659612389	2.895386217639559e-08	-3.5104034472297126e-08	0.002774694783573807	0.01716033887480049	8030.0	-843.6088733456568	8.5	1476.0	8.5	742.1064155101776	126.92560815811157	154.33449785482162	261.09905982017517	354.08174753189087	130.51447483479484	693.0	80290.0
96818	5.0	80.0	0.0	-816.8164372187084	0.0	1652.0	0.0	-0.38258238036706044	0.29559129840737747	1.1920928955078125e-06	114.58199507196382	0.0049544689957970525	0.0005070688820619266	-0.00015320134636675795	0.35606258573924426	0.35590938422366863	0.04488305273790896	0.23698559249720297	5.641212654344538	125.35026477844309	0.0162754371972306	-0.5547946170828809	4.821530242669585e-08	-9.936107300247138e-09	0.002774694783573807	0.016275485333592833	9683.0	-658.3953339939393	35.5	1861.0	35.5	887.0312266349792	150.144593000412	155.25700615763122	309.1255593299866	427.7610743045807	131.3879171921762	692.0	96818.0
115452	5.0	90.0	65.0	-846.4279946524441	6.5	1863.0	6.5	-0.37805970362675057	0.2505312613499014	1.1920928955078125e-06	137.33377581479655	0.004909023589516872	0.0005014665931352257	-0.00014968741908747397	0.3546646178984474	0.35451493020730823	0.04059343292741317	0.1938681150224184	5.647516138247754	150.31212774439024	0.013324638750548547	-0.5463839147721831	1.9784841011103452e-07	2.3884679609560257e-09	0.002774694783573807	0.013324836616134572	11546.0	-1177.3955868561566	0.0	2101.0	0.0	1047.8698987960815	174.67567443847656	157.50905263967078	363.15188670158386	510.0423376560211	132.21800692158286	691.0	115452.0
129282	5.0	100.0	181.0	-603.5129854601122	11.6	1383.0	11.6	-0.3797410492955645	0.17212862463227588	1.1920928955078125e-06	158.39580634255688	0.0044469645496093444	0.0005095474663899637	-4.681900905245265e-05	0.35347151631302176	0.3534246973817277	0.0	0.1941427193334243	5.644521694638459	173.31657819565228	0.014017742771494313	-0.5395985878384468	1.9609430676335008e-08	3.997668775013132e-09	0.002774694783573807	0.014017762338306749	12929.0	-1132.4107375351518	0.0	2101.0	0.0	1175.9282052516937	199.10132718086243	159.29075134285915	405.9277112483978	570.8991668224335	132.3489380793078	690.0	129282.0
