Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	train/cost_distance	loss/kl	loss/entropy	loss/rew_loss	loss/cost_loss	loss/optim_A	loss/optim_B	loss/optim_C	loss/optim_Q	loss/optim_R	loss/optim_S	loss/optim_lam	loss/optim_nu	loss/optim_case	loss/step_size	loss/vf0	loss/vf1	loss/vf_total	update/gradient_steps	test/reward	test/cost	test/length	test/cost_distance	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
8579	20.0	2364.0	-212.3217595610402	118.2	428.0	118.2	0.006702575832605362	1.794164091348648	-0.00041782745975993407	118.19727897644043	0.0017113604117184877	52543976.375	113.19727897644043	0.0021913796954322606	0.00016860293908393942	0.0016993102035485208	4.98728866205056e-07	1.1598211526870728	0.25	0.2660396386222081	0.21014933660626411	0.35896115750074387	0.5691104978322983	4.0	-183.9764161606346	118.0	403.0	118.0	39.44718956947327	5.782778263092041	139.5522987887311	30.21126365661621	3.4531476497650146	254.8388540622962	699.0	8579.0
17304	5.0	40.0	4483.0	-196.00089086880774	105.95	436.0	105.95	0.007137203821912408	1.7432727217674255	1.7481478314929078e-06	105.94623184204102	0.0024045040481723845	-7809085.0	100.94623184204102	0.002426941995508969	-0.00014780479159526294	0.0013514157035388052	0.0	3.8978999257087708	0.0	0.13994876532130482	0.1716574765741825	0.29798564314842224	0.46964312344789505	8.0	-243.07325364747447	175.0	567.0	175.0	80.77567601203918	13.405229330062866	144.86883828572985	60.44095325469971	6.929493427276611	256.84852709503195	698.0	17304.0
28359	5.0	60.0	7507.0	-273.85983335134193	151.2	552.0	151.2	0.006952954921871424	1.7287067472934723	-0.001586879124034768	151.19537734985352	0.0016132876044139266	-10723120.0	146.19537734985352	0.0017272165569011122	-0.0004760695228469558	0.0020283902413211763	0.0	3.161094307899475	0.0	0.10373090604973709	0.14084790647029877	0.2898421585559845	0.43069006502628326	12.0	-151.26901937780235	39.0	365.0	39.0	129.2641885280609	18.148709774017334	147.22809683283262	98.38990497589111	12.725573778152466	255.22096757350283	697.0	28359.0
39394	5.0	80.0	10691.0	-268.63953277748	159.2	551.0	159.2	0.007022577803581953	1.66029691696167	-0.0008892312362362986	159.19675064086914	0.0061921883025206625	-23696252.75	154.19675064086914	0.006395901786163449	-0.00044555565546033904	0.001251786481589079	0.0	4.3223021030426025	0.0	0.10977292260730569	0.12831619568169117	0.24879958108067513	0.37711577117443085	16.0	-733.4908099959591	129.5	1473.0	129.5	197.6089334487915	43.11037588119507	130.33985172119625	137.1592972278595	17.33926033973694	254.97972680271968	696.0	39394.0
51722	5.0	100.0	13690.0	-267.9270273036341	149.95	616.0	149.95	0.00690858718007803	1.6362475752830505	0.0018393917831243112	149.9475555419922	0.0021618888422381133	-27738354.5	144.9475555419922	0.0022734663798473775	0.00021437569739646278	0.0007825754873920232	0.0	5.119137644767761	0.0	0.09488655574515381	0.10884405113756657	0.2309264950454235	0.3397705554962158	20.0	-303.58057527483646	236.0	771.0	236.0	269.13332867622375	57.047571659088135	125.54434468831657	188.00917148590088	24.07658553123474	243.8730479945482	695.0	51722.0
64134	5.0	120.0	17475.0	-286.7419815811396	189.25	620.0	189.25	0.007483229506760836	1.6484865248203278	0.001358706178749447	189.2462615966797	0.002835596038494259	-25743925.0	184.2462615966797	0.0033055032836273313	0.000748623519029934	0.0013229688338469714	0.0	3.892953395843506	0.0	0.0821891008550762	0.09733493626117706	0.25099291652441025	0.3483278453350067	24.0	-235.6725416448989	113.0	405.0	113.0	329.4447691440582	62.79437184333801	126.96997781730136	237.77017402648926	28.880223274230957	240.51717398219972	694.0	64134.0
73568	5.0	140.0	20178.0	-217.78673194748217	135.15	471.0	135.15	0.007482265122234821	1.6559639871120453	0.0013096043840050697	135.146484375	0.0015720310038886964	-22060900.5	130.146484375	0.001724105968605727	0.0003436353072174825	0.0008417197677772492	0.0	5.054613709449768	0.0	0.10273432077698572	0.10279507003724575	0.24631260335445404	0.34910767525434494	28.0	-161.26596641623408	94.0	313.0	94.0	378.36753726005554	67.26465392112732	127.85318140615313	278.3817791938782	32.72110414505005	236.47482533889604	693.0	73568.0
82895	5.0	160.0	22821.0	-203.8494987499233	132.15	466.0	132.15	0.0070031636860221624	1.7024091482162476	-0.0011280726654703255	132.14627838134766	0.005715749808587134	-8702429.5	127.14627838134766	0.0060026770224794745	-0.0007108254940249026	0.0019005130452569574	0.0	3.2710993885993958	0.0	0.09078385122832515	0.09921862930059433	0.2335975430905819	0.3328161686658859	32.0	-162.98522444832875	88.0	307.0	88.0	427.663658618927	70.93305540084839	129.89712550701427	320.3090441226959	36.42155909538269	232.37423212979613	692.0	82895.0
91014	5.0	180.0	24862.0	-175.73411751211069	102.05	405.0	102.05	0.007176112616434693	1.7328088283538818	0.001310139817641165	102.0465145111084	0.0025653429911471903	-5850485.625	97.0465145111084	0.0027040496934205294	0.0004640796178136952	0.0016915069136302918	0.0	3.504216253757477	0.0	0.0895783514459198	0.1031328160315752	0.20024767890572548	0.30338050425052643	36.0	-150.2778501327002	81.5	279.0	81.5	463.5439713001251	74.56630325317383	131.06456366514354	348.04348397254944	40.934184074401855	233.9825842881402	691.0	91014.0
98765	5.0	200.0	26717.0	-176.28684199293428	92.75	387.0	92.75	0.006861285772174597	1.734520137310028	0.0005796206467737486	92.74613380432129	0.005242417682893574	-4651174.0	87.74613380432129	0.00532072049099952	0.00035956937790615484	0.001662880094954744	0.0	3.473950207233429	0.0	0.05948647916278764	0.10011585801839828	0.17985088378190994	0.2799667492508888	40.0	-192.774770029626	128.5	469.0	128.5	500.38666319847107	81.12377214431763	132.0328150045259	375.1958179473877	44.06707310676575	235.5681890941385	690.0	98765.0
